Date	85Kr [Bq/cbm air]	Kr85_error [Bq/cbm air]
24-02-86	1.049	0.03147
03-03-86	1.444	0.04332
10-03-86	1.043	0.03129
17-03-86	1.093	0.03279
24-03-86	0.9252	0.027756
01-04-86	1.776	0.05328
07-04-86	1.001	0.03003
14-04-86	1.268	0.03804
21-04-86	1.071	0.03213
28-04-86	1.441	0.04323
05-05-86	1.04	0.0312
12-05-86	0.9256	0.027768
19-05-86	2.03	0.0609
26-05-86	1.228	0.03684
02-06-86	1.317	0.03951
09-06-86	1.123	0.03369
16-06-86	1.185	0.03555
23-06-86	2.068	0.06204
30-06-86	1.163	0.03489
07-07-86	1.03	0.0309
14-07-86	1.138	0.03414
21-07-86	0.962	0.02886
28-07-86	0.9263	0.027789
04-08-86	0.9371	0.028113
11-08-86	0.934	0.02802
18-08-86	0.958	0.02874
25-08-86	0.9486	0.028458
01-09-86	1.004	0.03012
08-09-86	0.9159	0.027477
15-09-86	0.9121	0.027363
22-09-86	0.9487	0.028461
29-09-86	0.9277	0.027831
06-10-86	1.307	0.03921
13-10-86	0.9343	0.028029
20-10-86	1.071	0.03213
27-10-86	0.9717	0.029151
03-11-86	1.395	0.04185
10-11-86	1.033	0.03099
17-11-86	0.9965	0.029895
24-11-86	3.915	0.11745
01-12-86	1.107	0.03321
08-12-86	0.9476	0.028428
15-12-86	0.9905	0.029715
22-12-86	0.9604	0.028812
29-12-86	0.937	0.02811
12-01-87	1.021	0.03063
19-01-87	0.9341	0.028023
26-01-87	0.985	0.02955
02-02-87	3.194	0.09582
09-02-87	1.092	0.03276
16-02-87	1.015	0.03045
23-02-87	1.079	0.03237
02-03-87	1.038	0.03114
09-03-87	1.106	0.03318
16-03-87	1.439	0.04317
23-03-87	1.182	0.03546
30-03-87	1.043	0.03129
06-04-87	1.317	0.03951
13-04-87	1.131	0.03393
21-04-87	1.004	0.03012
27-04-87	1.117	0.03351
04-05-87	1.022	0.03066
11-05-87	1.126	0.03378
18-05-87	1.124	0.03372
25-05-87	1.514	0.04542
01-06-87	0.9539	0.028617
09-06-87	1.032	0.03096
15-06-87	1.361	0.04083
22-06-87	0.9679	0.029037
29-06-87	0.9783	0.029349
06-07-87	0.9458	0.028374
13-07-87	0.9218	0.027654
20-07-87	0.9502	0.028506
27-07-87	0.9452	0.028356
03-08-87	0.9522	0.028566
10-08-87	0.9322	0.027966
17-08-87	0.899	0.02697
24-08-87	1.297	0.03891
31-08-87	0.9801	0.029403
07-09-87	1.071	0.03213
14-09-87	2.076	0.06228
21-09-87	1.083	0.03249
28-09-87	0.964	0.02892
05-10-87	0.9707	0.029121
12-10-87	0.9235	0.027705
19-10-87	1.05	0.0315
26-10-87	1.003	0.03009
02-11-87	1.517	0.04551
09-11-87	1.354	0.04062
16-11-87	1.019	0.03057
23-11-87	1.356	0.04068
30-11-87	1.128	0.03384
07-12-87	1.031	0.03093
14-12-87	1.056	0.03168
21-12-87	1.058	0.03174
28-12-87	0.9815	0.029445
11-01-88	0.9427	0.028281
18-01-88	0.9719	0.029157
25-01-88	1.114	0.03342
01-02-88	0.9215	0.027645
08-02-88	0.9719	0.029157
15-02-88	1.004	0.03012
22-02-88	0.9818	0.029454
29-02-88	1.075	0.03225
07-03-88	0.9683	0.029049
14-03-88	1.005	0.03015
21-03-88	0.955	0.02865
28-03-88	0.9617	0.028851
05-04-88	0.9578	0.028734
11-04-88	1.277	0.03831
18-04-88	1.096	0.03288
25-04-88	1.028	0.03084
02-05-88	1.143	0.03429
09-05-88	1.35	0.0405
16-05-88	1.023	0.03069
24-05-88	0.9903	0.029709
30-05-88	1.06	0.0318
06-06-88	1.119	0.03357
13-06-88	1.004	0.03012
20-06-88	1.034	0.03102
27-06-88	0.9654	0.028962
04-07-88	0.9785	0.029355
11-07-88	0.9956	0.029868
18-07-88	0.9347	0.028041
25-07-88	0.9732	0.029196
01-08-88	1.021	0.03063
08-08-88	0.9564	0.028692
15-08-88	0.9438	0.028314
22-08-88	0.998	0.02994
29-08-88	0.9576	0.028728
05-09-88	1.031	0.03093
12-09-88	1.141	0.03423
19-09-88	0.9496	0.028488
26-09-88	0.9489	0.028467
03-10-88	0.9625	0.028875
10-10-88	0.9184	0.027552
17-10-88	0.9891	0.029673
24-10-88	1.35	0.0405
31-10-88	1.149	0.03447
07-11-88	1.181	0.03543
14-11-88	0.9895	0.029685
21-11-88	1.004	0.03012
28-11-88	1.072	0.03216
05-12-88	0.9643	0.028929
12-12-88	0.9864	0.029592
19-12-88	0.9632	0.028896
27-12-88	1.133	0.03399
09-01-89	0.9943	0.029829
16-01-89	1.043	0.03129
23-01-89	0.9243	0.027729
30-01-89	0.9967	0.029901
07-02-89	0.9228	0.027684
13-02-89	0.9588	0.028764
20-02-89	1.018	0.03054
27-02-89	0.9874	0.029622
06-03-89	1.388	0.04164
13-03-89	1.044	0.03132
20-03-89	0.957	0.02871
28-03-89	1.2	0.036
03-04-89	1.12	0.0336
10-04-89	1.374	0.04122
17-04-89	1.093	0.03279
24-04-89	1.219	0.03657
02-05-89	0.9982	0.029946
08-05-89	1.046	0.03138
16-05-89	1.05	0.0315
22-05-89	0.9973	0.029919
29-05-89	1.171	0.03513
05-06-89	1.089	0.03267
12-06-89	1.045	0.03135
19-06-89	1.216	0.03648
26-06-89	1.072	0.03216
03-07-89	1.06	0.0318
10-07-89	1.191	0.03573
17-07-89	1.005	0.03015
24-07-89	1.074	0.03222
31-07-89	1.126	0.03378
07-08-89	0.9773	0.029319
14-08-89	0.9822	0.029466
21-08-89	1.012	0.03036
28-08-89	1.104	0.03312
04-09-89	1.046	0.03138
11-09-89	1.148	0.03444
18-09-89	1.438	0.04314
25-09-89	1.038	0.03114
02-10-89	1.388	0.04164
09-10-89	1.328	0.03984
16-10-89	1.204	0.03612
23-10-89	1.658	0.04974
30-10-89	1.047	0.03141
06-11-89	1.728	0.05184
13-11-89	1.322	0.03966
20-11-89	1.055	0.03165
27-11-89	1.991	0.05973
04-12-89	1.314	0.03942
11-12-89	1.182	0.03546
22-12-89	1.043	0.03129
02-01-90	1.266	0.03798
08-01-90	0.9963	0.029889
15-01-90	1.079	0.03237
22-01-90	0.9735	0.029205
29-01-90	1.096	0.03288
05-02-90	1.105	0.03315
12-02-90	1	0.03
19-02-90	1.099	0.03297
27-02-90	1.159	0.03477
05-03-90	1.248	0.03744
12-03-90	1.424	0.04272
19-03-90	1.094	0.03282
26-03-90	1.038	0.03114
02-04-90	1.254	0.03762
09-04-90	1.025	0.03075
17-04-90	1.013	0.03039
23-04-90	1.071	0.03213
30-04-90	0.985	0.02955
07-05-90	1.289	0.03867
